Date of Comment;Country;Comment Title;FULL COMMENT;Our Comments;Service-On Board/Off Board;Punctuality;Airplane Infrastructure;Other Factors;Positive Comment;;;;;;;;;;;;;;;;;;;
2024-11-15T15:33:32.000Z;GB;Unprofessional and disrespectful…;"Unprofessional and disrespectful boarding gate staff. On the early morning flight from Gatwick to Malaga on the 5th of November, I queued to board and I found the woman's (I cannot call her lady), at the boarding gate check in, attitude was sharp, impolite and racist. She was not friendly to other than the English! Her attitude after checking my British passport was ""go and sit there"". I do not know what her background is and how she was brought up! Maybe she does not know to talk normal to people and how to respect others! Very bad for Wizz air  to recruit such people. I fly frequently with Wizz air and they are great, but need to pay attention who they recruit for serving their customers. Never came across such rude staff with any other airlines!";;YES;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-11-14T02:34:36.000Z;GB;Cheap. Hidden costs. Noobs.;Well. Cheap... yes. Disorganised....yes. If you need to go somewhere and don't expect much more travel experience than a local bus service, then go for it. Some tips... if you are a family, pay extra to sit together, there is no guarantee for this type of basic expectation. Only book if the flight is less than 2 hours, you won't enjoy the comfort. Don't expect to put your bag in the overhead lockers. Dont expect they won't be extremely stringent on cabin bag sizes prior to boarding. Don't expect an orderly boarding process. And lastly, don't expect professional cabin crew - expect either total noobs, or one experienced pro with some noobs.;;YES;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-11-14T14:56:31.000Z;DE;My flight was canceled ..;My flight was canceled ... due to fog ... they did not offer any other option ... at the airport they said that the ticket money would be refunded ... let me say right away that they REFUSED to refund the money for the ticket(They said: it's not our fault - it's the fault of the fog)....I had to buy another ticket which became 380 euro i I was late for work And I got in trouble at work because of it.... Personally, I will never fly with that company again....I would rather Traveled with a bus or a car if there are no other companies to fly with;;YES;YES;NO;Refund, compensation;NO;;;;;;;;;;;;;;;;;;;
2024-11-12T21:29:14.000Z;GB;Luggage got badly damaged;"Luggage got badly damaged, including an item inside.
Customer service was bad at every level.
At the airport they refuse to add the item damaged inside the luggage to the report. The lady was claiming that they weren't refunding it and that I should have bought another one.
Links to follow up the case provided by Wizzair are just not working.
I submitted an online claim with `damagedluggage`, they took a few weeks to come back and say they cannot offer compensation since it was a sport luggage.
I submitted an online claim with Wizzair for which I didn't agree with the amount they wanted to refund. So they just closed the case and didn't care about it.
So 6 weeks later my luggage is unusable (badly cut allover), one item inside has been badly damaged, filled up a few forms/emails asking the same things again and again and in the end nothing from Wizzair...";;YES;NO;NO;Refund complains (can be under the service as well.;NO;;;;;;;;;;;;;;;;;;;
2024-11-14T16:04:17.000Z;SE;it’s the worst airlines ever!!!;it’s the worst airlines ever!!!! they delayed our flight without an explanation. In Malmö airport who is working for, a woman she was short and had fake blonde hair rudest person ever I have ever seen!!!;;YES;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-11-14T15:36:42.000Z;GB;I had experiences with other budget…;"I had experiences with other budget airlines like Ryanair and EasyJet, definitely Wizz air is worse one regarding to ""every thing"", even if they sell their tickets for 1$ I'll not book again through them";;YES;YES;YES;Compared to competitors ;NO;;;;;;;;;;;;;;;;;;;
2024-11-11T18:17:42.000Z;NO;I wish I had read the reviews before I booked w/Wizz;I wish I had read the reviews before I booked a flight with Wizz Air! On my way out my flight was cancelled I had to wait 6days. That meant everything else had to be rebooked! I didn't get a recompense for this. On my return we were delayed by 3 hours plus 1 hour change of time. And the direct flight ended up being none direct. The plain was late arriving we almost left 4 passengers behind two on wheel chairs. The crew had to be replaced and refuelled. had a collision with a bird while landing and one of the stewardesses was quiet rude to the passengers. We were three hours late and did not even have bottled water for dehydration. Instead of arriving at 8:20 pm we arrived 30 minutes past mid night! Never will I travel with Wizz Air again...;;YES;YES;NO;Complains for refund/compensation for delays;NO;;;;;;;;;;;;;;;;;;;
2024-11-14T09:42:45.000Z;GB;Paid for seats and told to move.;Paid for seats as my partner and I wanted to sit together and she has a bad knee and wanted to sit in the isle. Sat down as normal then only to be told because we have a space next to us next to window we have to move over because the seats behind us have 2 baby’s and they cannot sit together. We said we would happily have them in the window seat but was told no and to move over. What’s the point of paying for seats to then be told you can’t sit where you pay for. Will be actively looking to avoid Wizz air as this hasn’t happened anywhere but this one flight company I have used. Only reason for 2 stars is there was a little more space in the plane than others.;;YES;NO;YES;NO;Isle seat little wider than other airplines, gave 2 stars for this;;;;;;;;;;;;;;;;;;;
2024-11-15T09:13:39.000Z;TR;"Scammers !""This was our forst flight from Budaoest…";This was our forst flight from Budaoest to Istanbul. I was charged the same price as our ticket for not checking in 3 hours before departure. I will never use them again! A pure scam!!!;;YES;NO;NO;complains for charges being too high;NO;;;;;;;;;;;;;;;;;;;
2024-11-10T10:48:27.000Z;IT;Be very aware about this company;Be very aware about this company, all their efforts are NOT IN SERVICE, but in how to take MONEY FROM THE POOR COSTUMER!!!!!Their web site is perfect to not make you chose properly,(and even if you choose, they do whatever they decided...) I paid for an auto check in, and arrived to the airport that doest not apear  on their sistem, and make me paid AGAIN for check in, I paid for a cabin luggage,  and they decide I have to checkin the luggage,for an extra ?54 , this is disgusting and people need to take action , because if not, they continue to do this!!!!;;YES;NO;NO;Extra fees;NO;;;;;;;;;;;;;;;;;;;
2024-11-11T12:30:55.000Z;PL;extremely disappointed with Wizz Air’s…;"extremely disappointed with Wizz Air’s handling of my claim. It’s been over four months since I filed it, and despite countless follow-ups, there has been no resolution or payment. The customer service team has been unhelpful, dismissive, and provides no clear answers regarding the delay. This lack of communication and accountability is shocking and frustrating.

As a paying customer, I expected Wizz Air to act with professionalism and respect, especially during a challenging time when I needed support. Unfortunately, their service has caused me nothing but stress. I would not recommend Wizz Air to anyone looking for a reliable airline that takes customer concerns seriously. Based on my experience, they have proven they do not value their customers’ time or trust.
CLAIM ID
e7b07a5c
CONFIRMATION CODE
MED6QY";;YES;NO;NO;Unprofessionalism, lack of support/acccountability, communication;NO;;;;;;;;;;;;;;;;;;;
2024-11-13T21:35:28.000Z;GB;Wizz Air is a disgrace!;Wizz Air is a disgrace of a company! Should be called RippOff UK and Poland Air ! They abuse and ripp.off disabled people!  They have the worst customer service i ever seen in my life and the worst airplanes! Will stay away from them from now on! Shame on you WizzAir!;;YES;No;YES;NO;NO;;;;;;;;;;;;;;;;;;;
2024-11-14T09:45:21.000Z;DK;THE AIRPLANE STAYED IN THE AIR!;"Flying with Wizz Air is like embarking on a whimsical sky-bound adventure, where every twist is a delightful surprise. The legroom is thoughtfully designed to promote creative yoga poses—who needs a stretching class when you’ve got knees and chin becoming best friends mid-flight? The boarding process is a thrilling social experiment, like a friendly game of musical chairs but with luggage and a sense of urgency.

In-flight, we discovered the charming “aquatic wonderland” bathroom sink—though the fish were clearly too shy to greet us. And despite the nail-biting anticipation from the reviews about “getting away with murder,” we were joyfully disappointed: everyone landed safely, alive, and applauding with the enthusiasm of a standing ovation.";;YES;NO;YES;NO;NO;;;;;;;;;;;;;;;;;;;
2024-11-03T18:31:25.000Z;ES;Worst experience ever;Worst experience ever. Rude flight attendants, flight delayed without communication, they kept us retained for an hour just looking our plain from the window. Not happy with having a delayed flight, they asked every single person to measure their bags and coats, in a way that goes beyond disrespectful. Please avoid at all costs, this airline is a shame and a total scam.;;YES;YES;NO;Disrespectful attitude (can be classified under service);NO;;;;;;;;;;;;;;;;;;;
2024-11-07T10:11:27.000Z;ES;Worst Airline - Avoid Wizz Air at all costs!;"I can confidently say that Wizz Air is the worst airline I have ever dealt with, and I would advise everyone to pay a bit more for a reputable airline rather than falling into their trap.

We paid for four suitcases in advance and had everything confirmed—payment receipt, email confirmation, and the app itself showed four bags checked in. But when we arrived at the airport, they only had one bag registered in their system. Despite showing all our confirmations, we were forced to pay for the other three suitcases again!

Since this experience in August, we’ve been trying to get our money back. All we receive are automated emails with no real response or acknowledgment of our claim. Wizz Air’s customer service is non-existent, and this experience has shown me they truly do not care about their customers.";;YES;NO;NO;Refund, hidden fees;NO;;;;;;;;;;;;;;;;;;;
2024-11-05T22:55:30.000Z;NL;I do not recommend!;I do not recommend!! flight delayed service at eindhoven airport aggressive you can't find out anything, the answer to the question is: not my problem. It's strange that they treat customers who actually give them work like that...;;YES;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;
